SALES_SUM,THIRD,PRODUCT_GROUP,PRODUCER
5.91,2,VÄRSKE LIHA,TALLEGG AS
0.75,3,PAGARITOOTED,EESTI PAGAR
1.2,1,VÄRSKE LIHA,TALLEGG AS
0.35,1,KOMMID,RIGAS DZIRNAVNIEKS
0.15,1,PIIMATOOTED,EESTI
1.19,3,MAHL,A. LE COQ
1.14,3,KUIV.PUUV. JA PÄHKLID,RHUMVELD BALTIC OÜ
1.49,2,VÄRSKE PUUVILI,KREEKA
1.18,3,KONDIITRITOOTED,EESTI
0.76,1,PAGARITOOTED,EESTI PAGAR
1.89,4,ÕLU,JSC SVYTURYS-UTENOS ALUS
0.79,1,PIIM,FARMI PIIMATÖÖSTUS AS
1.49,2,"SINK, VORST",NA
5.69,3,VÄRSKE LIHA,RAKVERE LIHAKOMBINAAT AS
2.2,1,KONDIITRITOOTED,EUROLEIB AS
2.77,1,KÜLMUTATUD LIHA JA LIND,OSKAR LT AS
0.31,3,VÄRSKE PUUVILI,PANAMA
0.69,3,PAGARITOOTED,EESTI
0.99,3,KARASTUS-JA TONISEERIVAD JOOGID,A. LE COQ
0.79,3,PAGARITOOTED,EESTI PAGAR
0.35,2,"KÜPSISED, VAHVLID",KRAFT FOODS
0.38,3,PIIMATOOTED,EESTI
5.39,1,KONDIITRITOOTED,EESTI LEIVATÖÖSTUS
1.05,3,MAITSEAINED,SANTA MARIA AS
1.19,3,VALMISTOIT,RAKVERE LIHAKOMBINAAT AS
0.47,3,KUIV.PUUV. JA PÄHKLID,MOGYI
3.35,2,KOHV,GUSTAV PAULIG LDT
0.99,1,JOGURT,TERE AS
0.74,3,"SINK, VORST",ATRIA EESTI AS
0.8,3,HÜGIEENITOOTED,NA
1.85,3,KÜLMAD KASTMED,UNILEVER
1.09,3,KOSMEETIKA,POOLA
1.39,1,LEMMIKLOOMATOIDUD,MARS
0.89,3,PIIMATOOTED,FARMI PIIMATÖÖSTUS AS
1.39,3,PUUVILJAKONSERVID,EUROOPA LIIT
0.79,1,PAGARITOOTED,LEIBUR AS
0.79,4,ÐOKOLAADID,FERRERO
0.99,3,PIIMATOOTED,TERE AS
7.76,2,VÄRSKE LIHA,TALLEGG AS
2.29,2,KONDIITRITOOTED,EESTI PAGAR
